Vendor,GRAPHTEC Corporation,,,,,,,,,,,,
Model,GL240,,,,,,,,,,,,
Version,Ver1.52  ,,,,,,,,,,,,
MaxChannel,10,,,,,,,,,,,,
WLStartCH,10,,,,,,,,,,,,
MaxLogicChannel,4,,,,,,,,,,,,
Logic/Pulse,Off,Off,,,,,,,,,,,
TempUnit,C,,,,,,,,,,,,
Sampling interval,1s,,,,,,,,,,,,
Total data points,3636,,,,,,,,,,,,
Trigger,0,,,,,,,,,,,,
Start time,2021-12-01,16:12:12,,,,,,,,,,,
End time,2021-12-01,17:12:47,,,,,,,,,,,
Trigger time,2021-12-01,16:12:12,,,,,,,,,,,
AMP settings,,,,,,,,,,,,,
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1, CH 1,M,TEMP,TC_K,2000degC,2,200,0,[degC],28,5,6,0
CH2, CH 2,M,TEMP,TC_K,2000degC,2,200,0,[degC],0,13,23,0
CH3, CH 3,M,TEMP,TC_K,2000degC,2,2000,-200,[degC],9,22,8,0
CH4, CH 4,M,TEMP,TC_K,2000degC,2,2000,-200,[degC],21,0,21,0
Calc settings,,,,,,,,,,,,,
CH,Left term,Operator,Right term,Scaling,Span,,Unit,,,,,,
Data,,,,,,,,,,,,,
Number,Date&Time,ms,CH1,CH2,CH3,CH4,Alarm1-10,AlarmOut,,,,,
NO.,Time,ms,degC,degC,degC,degC,A1234567890,AO1234,,,,,
92,2021-12-01 16:13,0,27.8,17.7,21.3,16.3,LLLLLLLLLL,LLLL,,,,,
93,2021-12-01 16:13,0,27.8,17.7,21.3,16.3,LLLLLLLLLL,LLLL,,,,,
94,2021-12-01 16:13,0,27.8,17.8,21.3,16.3,LLLLLLLLLL,LLLL,,,,,
95,2021-12-01 16:13,0,27.8,17.8,21.3,16.3,LLLLLLLLLL,LLLL,,,,,
96,2021-12-01 16:13,0,27.9,17.8,21.3,16.3,LLLLLLLLLL,LLLL,,,,,
97,2021-12-01 16:13,0,27.9,17.8,21.3,16.3,LLLLLLLLLL,LLLL,,,,,
98,2021-12-01 16:13,0,28,17.7,21.3,16.2,LLLLLLLLLL,LLLL,,,,,
99,2021-12-01 16:13,0,28,17.7,21.3,16.2,LLLLLLLLLL,LLLL,,,,,
100,2021-12-01 16:13,0,28,17.7,21.4,16.2,LLLLLLLLLL,LLLL,,,,,
101,2021-12-01 16:13,0,28,17.9,21.4,16.3,LLLLLLLLLL,LLLL,,,,,
102,2021-12-01 16:13,0,28,18,21.4,16.3,LLLLLLLLLL,LLLL,,,,,
103,2021-12-01 16:13,0,28,18,21.4,16.3,LLLLLLLLLL,LLLL,,,,,
104,2021-12-01 16:13,0,28.1,18,21.4,16.3,LLLLLLLLLL,LLLL,,,,,
105,2021-12-01 16:13,0,28.1,18,21.5,16.3,LLLLLLLLLL,LLLL,,,,,
106,2021-12-01 16:13,0,28.1,18.2,21.5,16.3,LLLLLLLLLL,LLLL,,,,,
107,2021-12-01 16:13,0,28.2,18.2,21.5,16.3,LLLLLLLLLL,LLLL,,,,,
108,2021-12-01 16:13,0,28.2,18.1,21.5,16.3,LLLLLLLLLL,LLLL,,,,,
109,2021-12-01 16:14,0,28.2,18.6,21.5,16.3,LLLLLLLLLL,LLLL,,,,,
110,2021-12-01 16:14,0,28.2,20.5,21.6,16.3,LLLLLLLLLL,LLLL,,,,,
111,2021-12-01 16:14,0,28.2,21,21.6,16.3,LLLLLLLLLL,LLLL,,,,,
112,2021-12-01 16:14,0,28.3,20.2,21.6,16.3,LLLLLLLLLL,LLLL,,,,,
113,2021-12-01 16:14,0,28.3,19.7,21.6,16.3,LLLLLLLLLL,LLLL,,,,,
114,2021-12-01 16:14,0,28.3,19.4,21.6,16.3,LLLLLLLLLL,LLLL,,,,,
115,2021-12-01 16:14,0,28.3,20.2,21.6,16.3,LLLLLLLLLL,LLLL,,,,,
116,2021-12-01 16:14,0,28.4,19.5,21.6,16.3,LLLLLLLLLL,LLLL,,,,,
117,2021-12-01 16:14,0,28.4,18.3,21.7,16.4,LLLLLLLLLL,LLLL,,,,,
118,2021-12-01 16:14,0,28.4,18.2,21.7,16.4,LLLLLLLLLL,LLLL,,,,,
119,2021-12-01 16:14,0,28.4,18.5,21.7,16.3,LLLLLLLLLL,LLLL,,,,,
120,2021-12-01 16:14,0,28.5,18.5,21.7,16.2,LLLLLLLLLL,LLLL,,,,,
121,2021-12-01 16:14,0,28.5,18,21.8,16.2,LLLLLLLLLL,LLLL,,,,,
122,2021-12-01 16:14,0,28.5,18,21.8,16.1,LLLLLLLLLL,LLLL,,,,,
123,2021-12-01 16:14,0,28.7,18,21.8,16.1,LLLLLLLLLL,LLLL,,,,,
124,2021-12-01 16:14,0,28.7,18,21.8,16.2,LLLLLLLLLL,LLLL,,,,,
125,2021-12-01 16:14,0,28.7,18,21.8,16.2,LLLLLLLLLL,LLLL,,,,,
126,2021-12-01 16:14,0,28.8,18,21.8,16.1,LLLLLLLLLL,LLLL,,,,,
127,2021-12-01 16:14,0,28.8,18,21.8,16.1,LLLLLLLLLL,LLLL,,,,,
128,2021-12-01 16:14,0,28.8,18.1,21.8,16.1,LLLLLLLLLL,LLLL,,,,,
129,2021-12-01 16:14,0,28.8,19.4,21.8,16.1,LLLLLLLLLL,LLLL,,,,,
130,2021-12-01 16:14,0,28.8,20,21.9,16.1,LLLLLLLLLL,LLLL,,,,,
131,2021-12-01 16:14,0,28.9,19.4,21.9,16.1,LLLLLLLLLL,LLLL,,,,,
132,2021-12-01 16:14,0,29,20.9,22,16.1,LLLLLLLLLL,LLLL,,,,,
133,2021-12-01 16:14,0,29.1,20.7,22,16.1,LLLLLLLLLL,LLLL,,,,,
134,2021-12-01 16:14,0,29.2,21,22,16.1,LLLLLLLLLL,LLLL,,,,,
135,2021-12-01 16:14,0,29.2,21.5,22,16.1,LLLLLLLLLL,LLLL,,,,,
136,2021-12-01 16:14,0,29.3,19.9,22,16.1,LLLLLLLLLL,LLLL,,,,,
137,2021-12-01 16:14,0,29.3,20.3,22,16.1,LLLLLLLLLL,LLLL,,,,,
138,2021-12-01 16:14,0,29.3,19.8,22,16.1,LLLLLLLLLL,LLLL,,,,,
139,2021-12-01 16:14,0,29.3,20,22,16.1,LLLLLLLLLL,LLLL,,,,,
140,2021-12-01 16:14,0,29.3,22.1,22,16.1,LLLLLLLLLL,LLLL,,,,,
141,2021-12-01 16:14,0,29.4,22.3,22.1,16.2,LLLLLLLLLL,LLLL,,,,,
142,2021-12-01 16:14,0,29.5,20.7,22.1,16.2,LLLLLLLLLL,LLLL,,,,,
143,2021-12-01 16:14,0,29.5,19.8,22,16.2,LLLLLLLLLL,LLLL,,,,,
144,2021-12-01 16:14,0,29.6,20.2,22.1,16.3,LLLLLLLLLL,LLLL,,,,,
145,2021-12-01 16:14,0,29.6,20.1,22.1,16.3,LLLLLLLLLL,LLLL,,,,,
146,2021-12-01 16:14,0,29.7,20.9,22.1,16.3,LLLLLLLLLL,LLLL,,,,,
147,2021-12-01 16:14,0,29.7,22.1,22.1,16.2,LLLLLLLLLL,LLLL,,,,,
148,2021-12-01 16:14,0,29.7,21.3,22.1,16.2,LLLLLLLLLL,LLLL,,,,,
149,2021-12-01 16:14,0,29.7,21.4,22.1,16.3,LLLLLLLLLL,LLLL,,,,,
150,2021-12-01 16:14,0,29.8,21.5,22.1,16.2,LLLLLLLLLL,LLLL,,,,,
151,2021-12-01 16:14,0,29.8,20.3,22.1,16.2,LLLLLLLLLL,LLLL,,,,,
152,2021-12-01 16:14,0,29.8,19.5,22.1,16.2,LLLLLLLLLL,LLLL,,,,,
153,2021-12-01 16:14,0,29.8,20.3,22.1,16.2,LLLLLLLLLL,LLLL,,,,,
154,2021-12-01 16:14,0,29.9,20.2,22.1,16.2,LLLLLLLLLL,LLLL,,,,,
155,2021-12-01 16:14,0,29.9,20.8,22.3,16.3,LLLLLLLLLL,LLLL,,,,,
156,2021-12-01 16:14,0,30,21.2,22.2,16.3,LLLLLLLLLL,LLLL,,,,,
157,2021-12-01 16:14,0,30,20.5,22.2,16.3,LLLLLLLLLL,LLLL,,,,,
158,2021-12-01 16:14,0,30,21.5,22.3,16.2,LLLLLLLLLL,LLLL,,,,,
159,2021-12-01 16:14,0,30,20.3,22.3,16.2,LLLLLLLLLL,LLLL,,,,,
160,2021-12-01 16:14,0,30.1,18.7,22.3,16.3,LLLLLLLLLL,LLLL,,,,,
161,2021-12-01 16:14,0,30.1,19.6,22.3,16.3,LLLLLLLLLL,LLLL,,,,,
162,2021-12-01 16:14,0,30.1,19.6,22.3,16.3,LLLLLLLLLL,LLLL,,,,,
163,2021-12-01 16:14,0,30.1,19.5,22.3,16.3,LLLLLLLLLL,LLLL,,,,,
164,2021-12-01 16:14,0,30.1,19.9,22.3,16.3,LLLLLLLLLL,LLLL,,,,,
165,2021-12-01 16:14,0,30.1,19.5,22.3,16.3,LLLLLLLLLL,LLLL,,,,,
166,2021-12-01 16:14,0,30.1,20.7,22.3,16.3,LLLLLLLLLL,LLLL,,,,,
167,2021-12-01 16:14,0,30.1,21.7,22.3,16.3,LLLLLLLLLL,LLLL,,,,,
168,2021-12-01 16:14,0,30.1,20.8,22.3,16.3,LLLLLLLLLL,LLLL,,,,,
169,2021-12-01 16:15,0,30.1,20.5,22.3,16.3,LLLLLLLLLL,LLLL,,,,,
170,2021-12-01 16:15,0,30.1,21,22.3,16.3,LLLLLLLLLL,LLLL,,,,,
171,2021-12-01 16:15,0,30.1,23.1,22.3,16.3,LLLLLLLLLL,LLLL,,,,,
172,2021-12-01 16:15,0,30.1,24.7,22.3,16.3,LLLLLLLLLL,LLLL,,,,,
173,2021-12-01 16:15,0,30.1,24.7,22.5,16.3,LLLLLLLLLL,LLLL,,,,,
174,2021-12-01 16:15,0,30.1,24.7,22.5,16.3,LLLLLLLLLL,LLLL,,,,,
175,2021-12-01 16:15,0,30.1,24.4,22.5,16.3,LLLLLLLLLL,LLLL,,,,,
176,2021-12-01 16:15,0,30.1,24.4,22.5,16.3,LLLLLLLLLL,LLLL,,,,,
